Summary,Issue key,Issue id,Issue Type,Status,Project key,Project name,Project type,Project lead,Project lead id,Project description,Priority,Resolution,Assignee,Assignee Id,Reporter,Reporter Id,Creator,Creator Id,Created,Updated,Last Viewed,Resolved,Due date,Votes,Description,Environment,Watchers,Watchers Id,Original estimate,Remaining Estimate,Time Spent,Work Ratio,Σ Original Estimate,Σ Remaining Estimate,Σ Time Spent,Security Level,Outward issue link (Blocks),Outward issue link (Cloners),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Attachment,Attachment,Custom field (Actual end),Custom field (Actual start),Custom field (Change reason),Custom field (Change risk),Custom field (Change type),Custom field (Development),Custom field (Epic Color),Custom field (Epic Link),Custom field (Epic Name),Custom field (Epic Status),Custom field (Impact),Custom field (Issue color),Custom field (Rank),Custom field (Request Type),Sprint,Custom field (Start date),Custom field (Story Points),Custom field (Story point estimate),Custom field (Target end),Custom field (Target start),Custom field (Team),Custom field ([CHART] Date of First Response),Status Category
Showing wrong time in the timeline section of subscribed course,EL-72,10097,Bug,To Do,EL,Elearning,software,Srishti Karn,612ef834448a6b00690cd31e,,Medium,,Srishti Karn,612ef834448a6b00690cd31e,Srishti Karn,612ef834448a6b00690cd31e,Srishti Karn,612ef834448a6b00690cd31e,07/Sep/21 3:59 AM,07/Sep/21 6:57 AM,08/Sep/21 6:38 AM,,,0,"Steps to reproduce:-

# Go to the Application
# Go to the progress section
# Navigate to the timeline section
# Verify time of the subscribed courses



Expected result

Subscribed course login time should have an actual real-time



Actual result

Subscribed course login time is showing unusual time

!scrnshot1.png|width=523,height=244!

!scrnshot2.png|width=546,height=214!",,Srishti Karn,612ef834448a6b00690cd31e,,,,,,,,,EL-2,,EL-67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,07/Sep/21 4:06 AM;ug:1792335b-c75e-4f5a-8a4e-2ac654fb206f;scrnshot1.png;https://corporateola1998.atlassian.net/secure/attachment/10005/scrnshot1.png,07/Sep/21 4:06 AM;ug:1792335b-c75e-4f5a-8a4e-2ac654fb206f;scrnshot2.png;https://corporateola1998.atlassian.net/secure/attachment/10006/scrnshot2.png,,,,,,{},,,,,,,0|i0006w:w,,EL Sprint 1,,,,,,,,To Do
Single date with different time of the course in the timeline,EL-71,10096,Bug,To Do,EL,Elearning,software,Srishti Karn,612ef834448a6b00690cd31e,,Medium,,Srishti Karn,612ef834448a6b00690cd31e,Srishti Karn,612ef834448a6b00690cd31e,Srishti Karn,612ef834448a6b00690cd31e,06/Sep/21 12:27 PM,07/Sep/21 6:42 AM,09/Sep/21 3:35 AM,,,0,"# Go to application
# Go to the Progress page
# Scroll down to the Timeline section
# Verify the date with the courses subscribed



Expected result

One course should have one latest login time



Actual result

One course is having multiple login time

On the same date of the same course, two-timing is showing

!1.png|width=598,height=250,alt=""On same date of same course two timing is showing""!

!2.png|width=609,height=243!",,Srishti Karn,612ef834448a6b00690cd31e,,,,,,,,,EL-2,,EL-66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,06/Sep/21 12:42 PM;ug:1792335b-c75e-4f5a-8a4e-2ac654fb206f;1.png;https://corporateola1998.atlassian.net/secure/attachment/10004/1.png,06/Sep/21 12:42 PM;ug:1792335b-c75e-4f5a-8a4e-2ac654fb206f;2.png;https://corporateola1998.atlassian.net/secure/attachment/10003/2.png,,,,,,{},,,,,,,0|i0006w:zx,,EL Sprint 1,,,,,,,,To Do
Verify the change in size of the logo when the user clicks on the dotted arrow on both sides of the Chamilo logo,EL-70,10095,Test,Done,EL,Elearning,software,Srishti Karn,612ef834448a6b00690cd31e,,Medium,Done,Srishti Karn,612ef834448a6b00690cd31e,Srishti Karn,612ef834448a6b00690cd31e,Srishti Karn,612ef834448a6b00690cd31e,06/Sep/21 12:16 PM,07/Sep/21 7:01 AM,06/Sep/21 12:16 PM,07/Sep/21 7:01 AM,,0,,,Srishti Karn,612ef834448a6b00690cd31e,,,,,,,,,,EL-69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{},,,,,,,0|i0006t:zx,,EL Sprint 1,,,,,,,,Done
Verify colour change when cursor moves to dotted arrow on both side of Chamilo logo,EL-69,10094,Test,Done,EL,Elearning,software,Srishti Karn,612ef834448a6b00690cd31e,,Medium,Done,Srishti Karn,612ef834448a6b00690cd31e,Srishti Karn,612ef834448a6b00690cd31e,Srishti Karn,612ef834448a6b00690cd31e,06/Sep/21 12:10 PM,07/Sep/21 7:01 AM,06/Sep/21 12:10 PM,07/Sep/21 7:01 AM,,0,,,Srishti Karn,612ef834448a6b00690cd31e,,,,,,,,,,EL-68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{},,,,,,,0|i0006t:zv,,EL Sprint 1,,,,,,,,Done
Verify dotted arrow on right side of Chamilo logo ,EL-68,10093,Test,Done,EL,Elearning,software,Srishti Karn,612ef834448a6b00690cd31e,,Medium,Done,Srishti Karn,612ef834448a6b00690cd31e,Srishti Karn,612ef834448a6b00690cd31e,Srishti Karn,612ef834448a6b00690cd31e,06/Sep/21 12:00 PM,07/Sep/21 7:01 AM,06/Sep/21 12:01 PM,07/Sep/21 7:01 AM,,0,,,Srishti Karn,612ef834448a6b00690cd31e,,,,,,,,,,EL-67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{},,,,,,,0|i0006t:zr,,EL Sprint 1,,,,,,,,Done
"Verify after clicking on the date  user is able to see course name, date and time in bold",EL-67,10092,Test,Block,EL,Elearning,software,Srishti Karn,612ef834448a6b00690cd31e,,Medium,,Srishti Karn,612ef834448a6b00690cd31e,Srishti Karn,612ef834448a6b00690cd31e,Srishti Karn,612ef834448a6b00690cd31e,06/Sep/21 11:56 AM,07/Sep/21 7:10 AM,07/Sep/21 6:57 AM,,,0,,,Srishti Karn,612ef834448a6b00690cd31e,,,,,,,,,EL-72,EL-66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{},,,,,,,0|i0006t:zi,,EL Sprint 1,,,,,,,,In Progress
"Verify after clicking on the date  user is able to see course name, date and time user have entered",EL-66,10091,Test,Block,EL,Elearning,software,Srishti Karn,612ef834448a6b00690cd31e,,Medium,,Srishti Karn,612ef834448a6b00690cd31e,Srishti Karn,612ef834448a6b00690cd31e,Srishti Karn,612ef834448a6b00690cd31e,06/Sep/21 11:51 AM,07/Sep/21 6:42 AM,08/Sep/21 5:07 AM,,,0,,,Srishti Karn,612ef834448a6b00690cd31e,,,,,,,,,EL-71,EL-65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{},,,,,,,0|i0006t:z,,EL Sprint 1,,,,,,,,In Progress
Verify under 'Timeline' title the date is clickable or not,EL-65,10090,Test,Done,EL,Elearning,software,Srishti Karn,612ef834448a6b00690cd31e,,Medium,Done,Srishti Karn,612ef834448a6b00690cd31e,Srishti Karn,612ef834448a6b00690cd31e,Srishti Karn,612ef834448a6b00690cd31e,06/Sep/21 11:40 AM,07/Sep/21 7:02 AM,09/Sep/21 4:26 AM,07/Sep/21 7:02 AM,,0,,,Srishti Karn,612ef834448a6b00690cd31e,,,,,,,,,,EL-64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{},,,,,,,0|i0006t:y,,EL Sprint 1,,,,,,,,Done
Verify under 'Timeline' title dotted line is displayed with dates on it,EL-64,10089,Test,Done,EL,Elearning,software,Srishti Karn,612ef834448a6b00690cd31e,,Medium,Done,Srishti Karn,612ef834448a6b00690cd31e,Srishti Karn,612ef834448a6b00690cd31e,Srishti Karn,612ef834448a6b00690cd31e,06/Sep/21 11:24 AM,07/Sep/21 7:02 AM,06/Sep/21 11:25 AM,07/Sep/21 7:02 AM,,0,,,Srishti Karn,612ef834448a6b00690cd31e,,,,,,,,,,EL-63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{},,,,,,,0|i0006t:w,,EL Sprint 1,,,,,,,,Done
Verify under 'Timeline' title the logo of E-learning & collaboration software is displayed,EL-63,10088,Test,Done,EL,Elearning,software,Srishti Karn,612ef834448a6b00690cd31e,,Medium,Done,Srishti Karn,612ef834448a6b00690cd31e,Srishti Karn,612ef834448a6b00690cd31e,Srishti Karn,612ef834448a6b00690cd31e,06/Sep/21 11:13 AM,07/Sep/21 7:02 AM,06/Sep/21 11:13 AM,07/Sep/21 7:02 AM,,0,,,Srishti Karn,612ef834448a6b00690cd31e,,,,,,,,,,EL-62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{},,,,,,,0|i0006t:t,,EL Sprint 1,,,,,,,,Done
